date,item_name,category,stock_level,reorder_point,reorder_triggered,daily_usage,waste_units
2023-01-01,Guinness Keg 50L,Draught Beer,270.0,50,False,10.0,0.14
2023-01-01,Heineken Keg 50L,Draught Beer,194.0,40,False,6.0,0.24
2023-01-01,Hop House 13 Keg,Draught Beer,147.0,30,False,13.0,0.11
2023-01-01,Rockshore Keg 50L,Draught Beer,128.0,25,False,12.0,0.36
2023-01-01,Red Wine Cases,Wine,70.0,15,False,10.0,0.26
2023-01-01,White Wine Cases,Wine,59.0,15,False,16.0,0.76
2023-01-01,Prosecco Cases,Wine,36.0,10,False,4.0,0.12
2023-01-01,Jameson 70cl,Spirits,47.0,12,False,13.0,0.25
2023-01-01,Vodka 70cl,Spirits,35.0,10,False,15.0,0.52
2023-01-01,Gin 70cl,Spirits,39.0,10,False,6.0,0.28
2023-01-01,Soft Drinks Cases,Non-Alcoholic,109.0,20,False,11.0,0.41
2023-01-01,Coffee Beans kg,Non-Alcoholic,27.0,8,False,3.0,0.08
2023-01-01,Beef Patties (box),Food,81.0,15,False,9.0,0.36
2023-01-01,Cod Portions (box),Food,64.0,12,False,6.0,0.14
2023-01-01,Chicken Wings (kg),Food,74.0,15,False,6.0,0.23
2023-01-01,Frozen Chips (bag),Food,94.0,20,False,6.0,0.13
2023-01-02,Guinness Keg 50L,Draught Beer,257.0,50,False,13.0,0.01
2023-01-02,Heineken Keg 50L,Draught Beer,191.0,40,False,3.0,0.04
2023-01-02,Hop House 13 Keg,Draught Beer,134.0,30,False,13.0,0.37
2023-01-02,Rockshore Keg 50L,Draught Beer,117.0,25,False,11.0,0.47
2023-01-02,Red Wine Cases,Wine,62.0,15,False,8.0,0.09
2023-01-02,White Wine Cases,Wine,42.0,15,False,17.0,0.49
2023-01-02,Prosecco Cases,Wine,22.0,10,False,14.0,0.28
2023-01-02,Jameson 70cl,Spirits,29.0,12,False,18.0,0.63
2023-01-02,Vodka 70cl,Spirits,25.0,10,False,10.0,0.45
2023-01-02,Gin 70cl,Spirits,33.0,10,False,6.0,0.28
2023-01-02,Soft Drinks Cases,Non-Alcoholic,106.0,20,False,3.0,0.02
2023-01-02,Coffee Beans kg,Non-Alcoholic,14.0,8,False,13.0,0.21
2023-01-02,Beef Patties (box),Food,72.0,15,False,9.0,0.22
2023-01-02,Cod Portions (box),Food,49.0,12,False,15.0,0.31
2023-01-02,Chicken Wings (kg),Food,60.0,15,False,14.0,0.63
2023-01-02,Frozen Chips (bag),Food,78.0,20,False,16.0,0.41
2023-01-03,Guinness Keg 50L,Draught Beer,251.0,50,False,6.0,0.02
2023-01-03,Heineken Keg 50L,Draught Beer,183.0,40,False,8.0,0.22
2023-01-03,Hop House 13 Keg,Draught Beer,126.0,30,False,8.0,0.32
2023-01-03,Rockshore Keg 50L,Draught Beer,112.0,25,False,5.0,0.03
2023-01-03,Red Wine Cases,Wine,47.0,15,False,15.0,0.74
2023-01-03,White Wine Cases,Wine,32.0,15,False,10.0,0.23
2023-01-03,Prosecco Cases,Wine,12.0,10,False,10.0,0.08
2023-01-03,Jameson 70cl,Spirits,30.0,12,True,17.0,0.32
2023-01-03,Vodka 70cl,Spirits,11.0,10,False,14.0,0.17
2023-01-03,Gin 70cl,Spirits,21.0,10,False,12.0,0.04
2023-01-03,Soft Drinks Cases,Non-Alcoholic,88.0,20,False,18.0,0.81
2023-01-03,Coffee Beans kg,Non-Alcoholic,15.0,8,True,16.0,0.03
2023-01-03,Beef Patties (box),Food,65.0,15,False,7.0,0.11
2023-01-03,Cod Portions (box),Food,44.0,12,False,5.0,0.12
2023-01-03,Chicken Wings (kg),Food,52.0,15,False,8.0,0.25
2023-01-03,Frozen Chips (bag),Food,63.0,20,False,15.0,0.51
2023-01-04,Guinness Keg 50L,Draught Beer,236.0,50,False,15.0,0.35
2023-01-04,Heineken Keg 50L,Draught Beer,176.0,40,False,7.0,0.17
2023-01-04,Hop House 13 Keg,Draught Beer,118.0,30,False,8.0,0.21
2023-01-04,Rockshore Keg 50L,Draught Beer,98.0,25,False,14.0,0.05
2023-01-04,Red Wine Cases,Wine,31.0,15,False,16.0,0.63
2023-01-04,White Wine Cases,Wine,40.0,15,True,18.0,0.15
2023-01-04,Prosecco Cases,Wine,20.0,10,True,6.0,0.09
2023-01-04,Jameson 70cl,Spirits,19.0,12,False,11.0,0.16
2023-01-04,Vodka 70cl,Spirits,19.0,10,True,11.0,0.28
2023-01-04,Gin 70cl,Spirits,17.0,10,False,4.0,0.14
2023-01-04,Soft Drinks Cases,Non-Alcoholic,82.0,20,False,6.0,0.07
2023-01-04,Coffee Beans kg,Non-Alcoholic,15.0,8,True,12.0,0.56
2023-01-04,Beef Patties (box),Food,52.0,15,False,13.0,0.04
2023-01-04,Cod Portions (box),Food,30.0,12,False,14.0,0.21
2023-01-04,Chicken Wings (kg),Food,47.0,15,False,5.0,0.09
2023-01-04,Frozen Chips (bag),Food,47.0,20,False,16.0,0.36
2023-01-05,Guinness Keg 50L,Draught Beer,231.0,50,False,5.0,0.16
2023-01-05,Heineken Keg 50L,Draught Beer,158.0,40,False,18.0,0.65
2023-01-05,Hop House 13 Keg,Draught Beer,103.0,30,False,15.0,0.13
2023-01-05,Rockshore Keg 50L,Draught Beer,91.0,25,False,7.0,0.26
2023-01-05,Red Wine Cases,Wine,28.0,15,False,3.0,0.11
2023-01-05,White Wine Cases,Wine,34.0,15,False,6.0,0.08
2023-01-05,Prosecco Cases,Wine,7.0,10,True,18.0,0.22
2023-01-05,Jameson 70cl,Spirits,23.0,12,True,16.0,0.08
2023-01-05,Vodka 70cl,Spirits,17.0,10,True,18.0,0.08
2023-01-05,Gin 70cl,Spirits,12.0,10,False,5.0,0.04
2023-01-05,Soft Drinks Cases,Non-Alcoholic,67.0,20,False,15.0,0.54
2023-01-05,Coffee Beans kg,Non-Alcoholic,15.0,8,True,14.0,0.11
2023-01-05,Beef Patties (box),Food,38.0,15,False,14.0,0.21
2023-01-05,Cod Portions (box),Food,15.0,12,False,15.0,0.54
2023-01-05,Chicken Wings (kg),Food,44.0,15,False,3.0,0.14
2023-01-05,Frozen Chips (bag),Food,34.0,20,False,13.0,0.02
2023-01-06,Guinness Keg 50L,Draught Beer,217.0,50,False,14.0,0.18
2023-01-06,Heineken Keg 50L,Draught Beer,142.0,40,False,16.0,0.63
2023-01-06,Hop House 13 Keg,Draught Beer,85.0,30,False,18.0,0.35
2023-01-06,Rockshore Keg 50L,Draught Beer,78.0,25,False,13.0,0.65
2023-01-06,Red Wine Cases,Wine,22.0,15,False,6.0,0.03
2023-01-06,White Wine Cases,Wine,17.0,15,False,17.0,0.23
2023-01-06,Prosecco Cases,Wine,19.0,10,True,16.0,0.03
2023-01-06,Jameson 70cl,Spirits,30.0,12,True,12.0,0.15
2023-01-06,Vodka 70cl,Spirits,13.0,10,False,4.0,0.05
2023-01-06,Gin 70cl,Spirits,7.0,10,True,12.0,0.32
2023-01-06,Soft Drinks Cases,Non-Alcoholic,61.0,20,False,6.0,0.24
2023-01-06,Coffee Beans kg,Non-Alcoholic,4.0,8,True,14.0,0.7
2023-01-06,Beef Patties (box),Food,26.0,15,False,12.0,0.23
2023-01-06,Cod Portions (box),Food,28.0,12,True,17.0,0.65
2023-01-06,Chicken Wings (kg),Food,38.0,15,False,6.0,0.19
2023-01-06,Frozen Chips (bag),Food,29.0,20,False,5.0,0.05
2023-01-07,Guinness Keg 50L,Draught Beer,212.0,50,False,5.0,0.21
2023-01-07,Heineken Keg 50L,Draught Beer,138.0,40,False,4.0,0.05
2023-01-07,Hop House 13 Keg,Draught Beer,69.0,30,False,16.0,0.57
2023-01-07,Rockshore Keg 50L,Draught Beer,60.0,25,False,18.0,0.61
2023-01-07,Red Wine Cases,Wine,16.0,15,False,6.0,0.13
2023-01-07,White Wine Cases,Wine,30.0,15,True,17.0,0.28
2023-01-07,Prosecco Cases,Wine,20.0,10,True,9.0,0.06
2023-01-07,Jameson 70cl,Spirits,25.0,12,False,5.0,0.02
2023-01-07,Vodka 70cl,Spirits,20.0,10,True,14.0,0.07
2023-01-07,Gin 70cl,Spirits,16.0,10,True,6.0,0.16
2023-01-07,Soft Drinks Cases,Non-Alcoholic,52.0,20,False,9.0,0.32
2023-01-07,Coffee Beans kg,Non-Alcoholic,15.0,8,True,17.0,0.83
2023-01-07,Beef Patties (box),Food,31.0,15,True,15.0,0.62
2023-01-07,Cod Portions (box),Food,15.0,12,False,13.0,0.28
2023-01-07,Chicken Wings (kg),Food,29.0,15,False,9.0,0.19
2023-01-07,Frozen Chips (bag),Food,24.0,20,False,5.0,0.12
2023-01-08,Guinness Keg 50L,Draught Beer,207.0,50,False,5.0,0.22
2023-01-08,Heineken Keg 50L,Draught Beer,131.0,40,False,7.0,0.17
2023-01-08,Hop House 13 Keg,Draught Beer,62.0,30,False,7.0,0.15
2023-01-08,Rockshore Keg 50L,Draught Beer,47.0,25,False,13.0,0.54
2023-01-08,Red Wine Cases,Wine,20.0,15,True,5.0,0.05
2023-01-08,White Wine Cases,Wine,25.0,15,False,5.0,0.25
2023-01-08,Prosecco Cases,Wine,20.0,10,True,13.0,0.58
2023-01-08,Jameson 70cl,Spirits,22.0,12,True,14.0,0.18
2023-01-08,Vodka 70cl,Spirits,19.0,10,True,12.0,0.55
2023-01-08,Gin 70cl,Spirits,23.0,10,True,15.0,0.55
2023-01-08,Soft Drinks Cases,Non-Alcoholic,46.0,20,False,6.0,0.27
2023-01-08,Coffee Beans kg,Non-Alcoholic,15.0,8,True,10.0,0.04
2023-01-08,Beef Patties (box),Food,17.0,15,False,14.0,0.1
2023-01-08,Cod Portions (box),Food,23.0,12,True,12.0,0.18
2023-01-08,Chicken Wings (kg),Food,21.0,15,True,18.0,0.25
2023-01-08,Frozen Chips (bag),Food,16.0,20,True,17.0,0.77
2023-01-09,Guinness Keg 50L,Draught Beer,198.0,50,False,9.0,0.44
2023-01-09,Heineken Keg 50L,Draught Beer,113.0,40,False,18.0,0.48
2023-01-09,Hop House 13 Keg,Draught Beer,48.0,30,False,14.0,0.13
2023-01-09,Rockshore Keg 50L,Draught Beer,34.0,25,False,13.0,0.29
2023-01-09,Red Wine Cases,Wine,17.0,15,False,3.0,0.0
2023-01-09,White Wine Cases,Wine,19.0,15,False,6.0,0.1
2023-01-09,Prosecco Cases,Wine,13.0,10,False,7.0,0.28
2023-01-09,Jameson 70cl,Spirits,30.0,12,True,12.0,0.05
2023-01-09,Vodka 70cl,Spirits,20.0,10,True,11.0,0.21
2023-01-09,Gin 70cl,Spirits,20.0,10,False,3.0,0.02
2023-01-09,Soft Drinks Cases,Non-Alcoholic,28.0,20,False,18.0,0.41
2023-01-09,Coffee Beans kg,Non-Alcoholic,10.0,8,False,5.0,0.23
2023-01-09,Beef Patties (box),Food,40.0,15,True,3.0,0.02
2023-01-09,Cod Portions (box),Food,20.0,12,False,3.0,0.07
2023-01-09,Chicken Wings (kg),Food,18.0,15,True,11.0,0.47
2023-01-09,Frozen Chips (bag),Food,36.0,20,True,14.0,0.43
2023-01-10,Guinness Keg 50L,Draught Beer,186.0,50,False,12.0,0.27
2023-01-10,Heineken Keg 50L,Draught Beer,100.0,40,False,13.0,0.21
2023-01-10,Hop House 13 Keg,Draught Beer,32.0,30,False,16.0,0.8
2023-01-10,Rockshore Keg 50L,Draught Beer,43.0,25,True,18.0,0.63
2023-01-10,Red Wine Cases,Wine,40.0,15,True,14.0,0.58
2023-01-10,White Wine Cases,Wine,38.0,15,True,15.0,0.39
2023-01-10,Prosecco Cases,Wine,20.0,10,True,9.0,0.07
2023-01-10,Jameson 70cl,Spirits,20.0,12,False,10.0,0.13
2023-01-10,Vodka 70cl,Spirits,25.0,10,True,12.0,0.35
2023-01-10,Gin 70cl,Spirits,25.0,10,True,18.0,0.31
2023-01-10,Soft Drinks Cases,Non-Alcoholic,50.0,20,True,10.0,0.17
2023-01-10,Coffee Beans kg,Non-Alcoholic,10.0,8,True,10.0,0.5
2023-01-10,Beef Patties (box),Food,25.0,15,False,15.0,0.07
2023-01-10,Cod Portions (box),Food,17.0,12,False,3.0,0.13
2023-01-10,Chicken Wings (kg),Food,26.0,15,True,16.0,0.3
2023-01-10,Frozen Chips (bag),Food,41.0,20,True,18.0,0.26
2023-01-11,Guinness Keg 50L,Draught Beer,170.0,50,False,16.0,0.26
2023-01-11,Heineken Keg 50L,Draught Beer,95.0,40,False,5.0,0.06
2023-01-11,Hop House 13 Keg,Draught Beer,80.0,30,True,13.0,0.63
2023-01-11,Rockshore Keg 50L,Draught Beer,37.0,25,False,6.0,0.21
2023-01-11,Red Wine Cases,Wine,33.0,15,False,7.0,0.03
2023-01-11,White Wine Cases,Wine,28.0,15,False,10.0,0.23
2023-01-11,Prosecco Cases,Wine,16.0,10,False,4.0,0.1
2023-01-11,Jameson 70cl,Spirits,16.0,12,True,12.0,0.1
2023-01-11,Vodka 70cl,Spirits,14.0,10,False,11.0,0.01
2023-01-11,Gin 70cl,Spirits,18.0,10,False,7.0,0.33
2023-01-11,Soft Drinks Cases,Non-Alcoholic,40.0,20,False,10.0,0.03
2023-01-11,Coffee Beans kg,Non-Alcoholic,11.0,8,True,6.0,0.13
2023-01-11,Beef Patties (box),Food,25.0,15,True,18.0,0.13
2023-01-11,Cod Portions (box),Food,28.0,12,True,6.0,0.16
2023-01-11,Chicken Wings (kg),Food,35.0,15,True,11.0,0.21
2023-01-11,Frozen Chips (bag),Food,32.0,20,False,9.0,0.36
2023-01-12,Guinness Keg 50L,Draught Beer,161.0,50,False,9.0,0.28
2023-01-12,Heineken Keg 50L,Draught Beer,84.0,40,False,11.0,0.37
2023-01-12,Hop House 13 Keg,Draught Beer,73.0,30,False,7.0,0.01
2023-01-12,Rockshore Keg 50L,Draught Beer,33.0,25,False,4.0,0.09
2023-01-12,Red Wine Cases,Wine,23.0,15,False,10.0,0.47
2023-01-12,White Wine Cases,Wine,20.0,15,True,18.0,0.89
2023-01-12,Prosecco Cases,Wine,9.0,10,True,12.0,0.11
2023-01-12,Jameson 70cl,Spirits,30.0,12,True,9.0,0.4
2023-01-12,Vodka 70cl,Spirits,19.0,10,True,10.0,0.45
2023-01-12,Gin 70cl,Spirits,15.0,10,True,17.0,0.34
